months,style,sku,size,pcs,rate,gross_amt
2021-06-01,JNE3686,JNE3686-TU-L,L,6.00,486.85,2717.00
2021-06-01,JNE3686,JNE3686-TU-XL,XL,6.00,486.85,2717.00
2021-06-01,J0196,J0196-TP-M,M,6.00,519.35,2898.00
2021-06-01,J0196,J0196-TP-L,L,6.00,519.35,2898.00
2021-06-01,J0196,J0196-TP-XL,XL,6.00,519.35,2898.00
2021-06-01,J0197,J0197-TP-M,M,6.00,584.35,3261.00
2021-06-01,J0197,J0197-TP-L,L,6.00,584.35,3261.00
2021-06-01,J0197,J0197-TP-XL,XL,6.00,584.35,3261.00
2021-06-01,J0201,J0201-TP-M,M,6.00,584.35,3261.00
2021-06-01,J0201,J0201-TP-L,L,6.00,584.35,3261.00
2021-06-01,J0201,J0201-TP-XL,XL,6.00,584.35,3261.00
